	R01-023	R01-024	R01-006	R01-153	R01-031	R01-032	R01-033	R01-034	R01-035	R01-037	R01-005	R01-147	R01-051	R01-043	R01-028	R01-052	R01-056	R01-057	R01-059	R01-060	R01-061	R01-062	R01-063	R01-066	R01-067	R01-068	R01-072	R01-080	R01-081	R01-154	R01-083	R01-084	R01-048	R01-077	R01-078	R01-003	R01-007	R01-012	R01-013	R01-015	R01-016	R01-017	R01-018	R01-021	R01-022	R01-026	R01-004	R01-014	R01-027	R01-029	R01-038	R01-039	R01-040	R01-041	R01-042	R01-046	R01-156	R01-049	R01-160	R01-054	R01-055	R01-064	R01-065	R01-069	R01-071	R01-073	R01-076	R01-148	R01-149	R01-079	R01-150	R01-089	R01-157	R01-158	R01-151	R01-152	R01-091	R01-159	R01-093	R01-094	R01-096	R01-097	R01-098	R01-099	R01-100	R01-101	R01-102	R01-103	R01-104	R01-105	R01-106	R01-107	R01-108	R01-109	R01-110	R01-111	R01-112	R01-113	R01-114	R01-115	R01-116	R01-117	R01-118	R01-119	R01-120	R01-121	R01-122	R01-123	R01-124	R01-125	R01-126	R01-127	R01-128	R01-129	R01-130	R01-131	R01-132	R01-133	R01-134	R01-135	R01-136	R01-137	R01-138	R01-139	R01-140	R01-141	R01-142	R01-144	R01-145	R01-146
1/2-SBSRNA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1BG	NA	2.52851	1.713994	3.143938	1.79508	2.41091	2.538406	NA	10.386501	1.82622	NA	NA	NA	1.55862	1.45528	1.27124	7.9311	5.895698	4.202455	3.84436	14.1772	2.25145	NA	6.0059	3.126893	2.79223	3.50365	4.898634	8.391619	1.07236	2.895475	8.406363	2.78924	NA	0.436152	NA	2.950954	7.810654	NA	3.53846	2.293914	NA	NA	NA	NA	7.177913	0.896509	1.61145	1.76455	NA	3.887091	NA	2.105878	NA	6.22923	3.50931	2.72289	2.64815	5.289551	NA	3.5849	2.5235	NA	NA	NA	0.764097	1.07928	2.515044	3.965548	0.818385	NA	NA	NA	NA	2.28318	0.988662	1.30317	2.733682	11.83091	2.1051	NA	NA	NA	4.757295	2.96185	5.709845	5.439615	3.457685	3.048063	1.56986	3.13114	7.739366	2.47165	13.61401	9.68216	2.05082	NA	NA	NA	NA	1.654362	0.621971	0.981599	0.691306	NA	2.29421	4.199843	3.871175	3.65762	4.680107	NA	NA	4.86621	5.09031	5.270903	5.51343	8.179776	NA	5.13383	8.58936	3.534986	7.560916	3.56095	2.22318	NA	2.09417	1.94455	NA	6.130287	NA
A1BG-AS1	NA	NA	NA	0.646213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73464	0.776258	NA	1.63156	NA	NA	1.84112	0.69549	NA	NA	2.28022	1.78973	NA	NA	0.626974	1.07789	NA	NA	NA	NA	0.664394	NA	NA	NA	NA	NA	NA	NA	1.09537	NA	NA	NA	NA	1.09163	NA	0.936157	NA	0.487774	0.64342	NA	NA	0.977555	NA	NA	NA	NA	NA	NA	NA	0.508843	0.810294	1.31336	0.736092	NA	2.22046	NA	NA	1.30863	NA	NA	0.732913	NA	0.649132	NA	NA	0.452502	2.02329	0.958381	1.506866	2.931031	1.06014	1.29107	0.745987	1.04818	3.44487	2.120887	3.80481	1.16709	2.279516	1.30004	1.315646	0.645186	1.00129	2.5339	0.857831	1.4562	2.04265	NA	NA	2.053479	1.413252	2.54827	2.19004	NA	NA	2.485531	1.65574	3.27409	2.492928	2.47984	NA	2.675705	3.36809	2.408296	3.47429	1.382054	2.09133	NA	1.30469	1.0557	0.939564	1.44522	NA
A1CF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.211864	NA	NA	NA	0.42668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.578403	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.476715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2LD1	2.03438	0.436761	1.60103	3.366031	0.994382	2.130685	0.842759	1.835353	0.662647	0.646078	0.708038	1.63464	NA	1.07593	1.11891	NA	1.75153	1.48921	2.21853	NA	3.74286	NA	0.733463	4.46467	1.07266	1.17888	1.28777	2.104147	NA	0.533844	0.852339	NA	1.545521	NA	0.826328	NA	5.25043	0.589465	2.003074	0.656841	0.66065	0.677359	NA	5.170044	2.527657	7.573512	NA	1.394348	0.890418	NA	0.926979	NA	4.945543	0.371854	2.164271	1.65671	0.875169	NA	0.400868	3.304667	1.517273	NA	NA	NA	NA	NA	4.860709	0.975272	NA	NA	NA	3.296858	NA	0.678587	4.930055	0.463638	9.253926	0.396875	NA	0.844644	NA	3.644408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2M	59.5255	31.7306	40.8846	93.2069	27.921	116.234	9.54511	93.646	25.0512	18.4653	19.03962	29.5541	21.00114	100.219	85.5608	16.71457	214.589	84.2831	52.9364	90.5355	75.1832	69.9395	39.1704	49.9128	226.832	78.2862	81.6734	85.1809	129.914	137.271	60.828	26.998	66.9217	76.113	89.8517	38.8747	21.19262	94.1862	44.0197	64.4285	26.5176	103.722891	2.843245	107.7631	58.43122	45.3541	33.0931	123.571	23.9276	4.03579	127.539	68.7037	82.8435	34.29007	20.5815	23.5422	15.7099	41.6734	16.87774	7.83843	36.571628	141.8662	5.98133	4.28401	9.51634	5.838	79.8088	621.011	29.7176	42.1436	13.5712	54.703	26.3141	44.2161	47.1448	76.5334	136.477	21.8903	6.01872	98.1653	65.3796	31.4857	98.4395	99.7395	224.706	188.357	487.586	58.9155	204.943	439.547	32.8367	170.336	64.2171	256.346	113.02222	172.088	33.8525	263.716	45.8169	77.7062	397.143	55.5254	187.641	24.958	148.084	32.6522	285.053	265.65	9.92574	54.3957	176.961	126.292	170.872	72.04625	36.87744	167.026	72.6906	152.342	71.884	97.9374	301.089	222.705	23.7389	169.17	35.0792	142.104	233.773	153.046	192.524	58.2058
A2ML1	NA	2.374324	0.477936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.797393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.0446	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.28253	NA	NA	NA	NA	5.50876	NA	9.24329	0.600343	1.36601	3.61383	4.81279	NA	NA	3.00252	NA	18.17201	2.33247	13.511327	21.008617	0.639802	NA	NA	NA	8.6616	NA	0.632516	9.90186	NA	NA	1.46269	0.992695	3.08665	NA	NA	NA	NA	NA	NA	2.80256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.963961	NA	45.4707	NA	NA	NA	NA	7.32978	NA	54.4635	NA	NA	0.884408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2MP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.799438	NA	NA	NA	NA	NA	1.836493	NA	NA	NA	NA	NA	0.981331	NA	NA	NA	NA	NA	NA	3.25958	0.473332	NA	NA	NA	NA	NA	1.110739	NA	0.704176	NA	NA	NA	1.622167	NA	0.340432	NA
A4GALT	2.475232	2.588888	1.90887	1.47992	1.82878	0.548072	NA	1.52343	0.662936	NA	2.61645	0.763772	NA	2.28371	2.43193	3.452125	1.95229	1.19474	NA	2.430944	11.6788	1.71569	1.76962	0.614946	2.681872	0.640144	1.03112	0.741466	0.944136	0.768858	2.078882	1.64715	2.221371	2.020372	1.032066	0.697594	7.044387	1.01068	3.507944	1.70399	1.29865	NA	4.920574	7.806573	0.589554	5.14957	2.374249	0.97141	3.38333	4.992548	3.16714	16.529111	1.80401	23.15047	3.54023	13.237	15.8013	19.274651	7.817165	1.81455	2.151252	5.389642	8.023406	44.24538	11.494741	39.83006	0.642563	5.753708	1.19064	NA	26.09994	1.54218	35.74818	45.5667	10.514449	2.14919	2.67792	5.584334	0.624973	2.26311	0.545115	0.685623	10.756332	1.236935	1.533144	6.18307	10.606583	7.731796	3.201348	9.659611	5.47902	1.55979	3.82785	1.84066	1.10856	1.68089	4.092602	0.79117	6.887149	2.206192	1.28322	NA	4.008	10.708567	3.220124	2.27392	2.462932	1.28678	9.819005	1.49632	1.49619	1.27444	8.83427	2.809158	2.114701	2.382812	1.45136	1.49238	6.23682	5.318541	1.85241	3.263207	NA	1.46139	NA	2.7111	2.869876	1.16306	3.44072	6.36594
A4GNT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.384956
