,R01-023,R01-024,R01-006,R01-153,R01-031,R01-032,R01-033,R01-034,R01-035,R01-037,R01-005,R01-147,R01-051,R01-043,R01-028,R01-052,R01-056,R01-057,R01-059,R01-060,R01-061,R01-062,R01-063,R01-066,R01-067,R01-068,R01-072,R01-080,R01-081,R01-154,R01-083,R01-084,R01-048,R01-077,R01-078,R01-003,R01-007,R01-012,R01-013,R01-015,R01-016,R01-017,R01-018,R01-021,R01-022,R01-026,R01-004,R01-014,R01-027,R01-029,R01-038,R01-039,R01-040,R01-041,R01-042,R01-046,R01-156,R01-049,R01-160,R01-054,R01-055,R01-064,R01-065,R01-069,R01-071,R01-073,R01-076,R01-148,R01-149,R01-079,R01-150,R01-089,R01-157,R01-158,R01-151,R01-152,R01-091,R01-159,R01-093,R01-094,R01-096,R01-097,R01-098,R01-099,R01-100,R01-101,R01-102,R01-103,R01-104,R01-105,R01-106,R01-107,R01-108,R01-109,R01-110,R01-111,R01-112,R01-113,R01-114,R01-115,R01-116,R01-117,R01-118,R01-119,R01-120,R01-121,R01-122,R01-123,R01-124,R01-125,R01-126,R01-127,R01-128,R01-129,R01-130,R01-131,R01-132,R01-133,R01-134,R01-135,R01-136,R01-137,R01-138,R01-139,R01-140,R01-141,R01-142,R01-144,R01-145,R01-146
TOR1AIP1,1.0802423574279532,-0.25527923334401187,1.0931611351951005,1.2631020029324926,1.1326372923936816,1.0661162359543346,-0.20826611940396783,1.1499961669065872,-0.9098902989195599,1.2757817499105277,0.8881979231992759,-0.8868390959474347,0.8466193829814845,1.3224961189755575,0.8922584517760292,0.7576313675520187,1.2159058497894952,1.0849839396673278,1.2010582332318798,1.106689012045362,1.1256664464735957,1.2517610396667336,1.267354632249082,0.7767049159512753,1.0585255132900286,0.8396917444012557,1.0596334880045608,0.9380050864202261,1.0975199683573535,1.1326372769288793,1.1571147107398208,1.1576930527146785,0.8545351675883832,1.039595604921534,1.0264359488957864,-0.905057612885756,-0.6629157028887288,-0.2559648021065798,0.9874413534744481,-0.28607041936111194,1.11760801991154,1.1333170412278222,0.7584423794126665,-0.29016203778060684,0.9226990658262982,1.0056894850954692,-0.4821302251708611,1.080242593056544,0.876805020691196,1.0420955090397857,0.9623375029273812,0.9930305128387875,-0.994852507751461,-0.8892535547524415,1.0904842036342757,0.9360180492540882,1.102590016883299,-0.890665614728384,1.1475467973563522,1.0792759427984453,0.7189236934425484,1.1256663560139586,1.108297879601893,-0.35528303742801026,-0.963239009655925,-0.2755262289055089,0.9068855533801132,1.1418864239412236,0.8902416336199218,-1.0062175615528675,0.7576312585118831,0.8528113595859285,0.9360180068314663,1.0236606791095855,-1.0470539726966226,0.9179853206382836,0.8344007937527606,1.0208336244123442,0.7708587483917958,0.8640815570094855,-0.5730105473075731,-1.0179960226468983,-1.115532346304998,-1.0327891316944184,-1.0541258188098486,-0.9502337047581277,-1.07192912455657,-1.009048164616941,-1.0604937607988285,-1.064917097139499,-1.075318743638674,-0.899273156932968,-1.0997509442447588,-0.9624462343494102,-1.1263733882905564,-1.0045160561091426,-1.1658118554436476,-0.9320212868760014,-0.9734670105451287,-1.0808716686204023,-1.0511897481106316,-1.0323462158238892,-1.0165212611389765,-1.0399451972030231,-1.0033322020952762,-1.0720693564207062,-1.0984799841507464,-0.9587675562544913,-1.0474610852371709,-1.1669879541530899,-1.0481807533383334,-1.061887498525953,-1.0904994260019447,-1.072957406629021,-1.0332499899467165,-1.1499866268582457,-1.0759991902586974,-1.1162163137308174,-1.0382152545112622,-1.0242039720674874,-0.9820444323697092,-0.9951338484678819,-1.0248072171306466,-1.0853360183645397,-1.0472133527797194,-1.0136881419887893,-0.9801164907471769,-1.0818834765256684,-1.075114683993704,-0.9471304444253327
CHD7,-0.48881469502609803,-0.480226695435875,-0.2996280456028558,-0.5595157356001652,2.395516781365428,1.8742817631337163,-0.43654204635129307,-0.506786741632454,1.974408838470567,2.4829907175531534,-0.5322985781603328,2.1135324218159397,-0.3996762539828132,-0.7276844635764362,1.93583898796838,-0.5676534425719506,2.358089872734968,-0.21551111391368155,-0.516047705530504,-0.35757793276082145,2.1212059301958437,-0.5994708034512783,-0.41620782713814003,-0.3657848607182538,1.9576025456115944,2.0290101578201694,2.1323883515796997,-0.48748096877189806,-0.6149245345715801,-0.49998032096335054,-0.6793869922419465,-0.6165411134612829,-0.3127182139853381,-0.4272446021479735,-0.33324996640019405,-0.6035116464582104,-0.4464351407354013,-0.7617713621142045,-0.4580906027309847,-0.5888433541583964,-0.4259754613441642,-0.49991528713871697,2.069412649582923,-0.36044698454238844,-0.5579750867820705,-0.5292167995241699,-0.47862400478745265,-0.46664306668118016,1.739012825966219,2.1212059494058617,-0.5017010492769781,-0.61572580087949,-0.45611787120545605,-0.3520717533313591,1.9390436996497924,2.1298263087947125,2.0483479912648415,-0.4655440627684608,-0.3219534354396809,2.2858052610849886,-0.5103290652278852,-0.47659791750529407,-0.43901041993505885,1.6813572805265715,1.9863470414514732,-0.5769333368244787,-0.5872768769561388,2.2557585986221595,-0.2836872626980223,-0.48527339319317175,-0.5286566802661088,-0.6268050110428484,-0.22923948641359937,2.1886452079753704,-0.4996381975167374,-0.3629173385040391,2.0636704936781642,-0.2809215088224023,1.911667234824745,-0.5340928728215567,-0.6721417955528356,-0.3457868956101671,-0.40872645902181215,-0.5524595630706867,-0.608398664827228,-0.4197090909835895,-0.43178407727080204,-0.5823408946275789,-0.5774240709504012,-0.24744274557874146,-0.338292414335053,-0.4788627404539812,-0.6870810113249732,-0.5187498315166653,-0.3958649054712918,-0.33014768914489645,-0.4864544818244514,-0.41953599908372363,-0.5115680870427998,-0.40123861873926975,-0.3388141474936273,-0.18286525957880406,-0.5260010820783784,-0.28971172017408797,-0.6837641011816707,-0.5837431410137244,-0.45751086813626446,-0.512996118094711,-0.4811541439316024,-0.2373557676284659,-0.5260066211947423,-0.4277463990181093,-0.45600605330474736,-0.488993442325638,-0.5484978212350755,-0.5502155427149402,-0.5660718276309357,-0.5416046711478208,-0.3811448321828595,-0.27451616127016015,-0.3889498854958183,-0.45781725041182003,-0.4953550709788639,-0.39806361812583585,-0.5287806946727646,-0.28378161434274474,-0.5839122896996083,-0.41923942697200794,-0.5368291360202425,-0.4806123749676433
ZFYVE26,1.4514239981015735,1.5328452928905818,-0.7602653787817659,-0.42883270974521537,1.393626776720617,-0.5913685337138488,1.3500932535515637,1.3143145573246862,-0.5208500462077386,1.5848595691505083,-0.6261284186407683,-0.7770467904414872,1.159068161690317,1.6984558343509961,1.4415863540100018,-0.6595565444267406,1.5599734059523853,-0.7195660800734122,1.6296759770332598,-0.3702087707255219,1.797629537977062,1.5292564120254195,1.7873851847470474,-0.7049600227387056,1.5583839877904189,-0.6587409314051362,1.4700289596079097,-0.747901606339378,1.5292564276095342,-0.6070088571836595,1.530018568150509,1.4975178705100514,-0.6416570855236676,-0.751917879136666,1.4951807549930982,-0.7228656453258673,1.7405196059495418,1.5029941714030874,-0.5882051358085123,1.5052232509212002,1.295394440233003,1.5888821866006124,-0.6764628589980297,1.6233691362176856,1.4785909903931724,-0.6422437109804371,-0.7884264055791519,1.5108783133533055,-0.7046306210407559,-0.7620542589912668,1.4118852360577083,-0.3785084017654565,-0.4880136024395309,1.3690265998267404,-0.729583167394894,1.2693427612144512,1.4321593883513488,-0.675808308922823,1.7011375467829064,-0.6465479774077211,-0.6188105138207546,-0.766490043367293,1.486973288697154,1.1740399508867723,-0.724679073308904,1.6265531025455273,-0.6551050442763331,-0.6888859906006722,-0.5945201280164234,-0.7103796729788975,-0.6938607385637218,-0.6652665930489166,-0.8062916367411249,-0.7300004352263018,-0.6605362186022755,1.4325055270185807,-0.5047340877210534,1.552364872773021,1.0718167634424298,-0.6403440324989883,1.2937814261725584,-0.7792252339255629,-0.7546292603618588,-0.7118679205461599,-0.8211935499773934,-0.6570276715784326,-0.6438096147017476,-0.6061238208657157,-0.66210614121802,-0.8042682035548304,-0.7144600643705643,-0.6449885844718233,-0.6227617235123438,-0.7254106984584128,-0.6804325259933509,-0.5791244700579271,-0.6397313259376637,-0.663092222463646,-0.5708082006111295,-0.7584855927859459,-0.6453228292884136,-0.6252074880690758,-0.6827115493318157,-0.6028685031419296,-0.686210429710962,-0.7825397007936326,-0.6277644382160347,-0.6720334125730982,-0.5416047988017411,-0.5879542550344989,-0.6309865409255164,-0.6684827968001085,-0.6991956377458058,-0.6387809473796487,-0.6048098944961016,-0.586908915289437,-0.6551080447166178,-0.5596387303057104,-0.5704381960627614,-0.6033123133449476,-0.719606442161105,-0.7653837574809409,-0.6513901652181263,-0.6518822828895171,-0.6476064420014975,-0.6018623054053892,-0.7108902172989803,-0.7213170240209025,-0.6523148413991804,-0.715075759222491
NAA38,2.383069246178487,2.7824419941725824,-0.48590779666016887,-0.3436523427696467,0.09108382513542672,2.6136155928020104,-0.31254233391393227,2.408834494051819,-0.16835652328091097,-0.29886898141423823,2.191223310809187,-0.4786656552044854,2.0166628306851098,2.5991321375133443,-0.21856070220029433,1.2773184313445742,-0.23303835492779804,-0.2765836202653423,2.8080075463902405,-0.38875308980514517,-0.2612219418886644,-0.1705898238806422,0.0660184030990782,-0.6057566573471364,-0.1296878296831123,2.614541771922167,0.7134811137353991,-0.6527939739212434,-0.3557990979823016,-0.16331457149211648,-0.2620929279012859,-0.2962109383903508,-0.625003835235094,2.4435281039601744,-0.48022027430060465,-0.4831588206955312,-0.6240936281517753,-0.326232524501831,-0.336866138390467,0.28648519854528093,-0.4578698292734661,-0.6416323549596368,2.107930068008951,-0.37692452134747056,2.321178004737966,-0.26390321568872543,-0.4816869092623989,-0.4660665856918329,2.289968252481531,-0.30432606592886796,-0.3191224710950154,2.373038856569935,-0.39062247343697276,-0.4485798223289992,0.004782299176451113,-0.25817464013172564,-0.17221916398795564,-0.40027153301566254,0.17020291169220958,-0.4284422391831126,2.040164205088324,-0.49793979703333197,-0.3791017859574147,1.9938114144974866,-0.4540488784703295,-0.40106649454614507,-0.37687693084671076,2.719393351197859,-0.5554147737487558,-0.4123952365547481,-0.399731372374597,-0.40070674784214594,-0.3813407595230785,-0.31646342806871636,-0.49071479397891615,-0.4647521683913059,-0.3073176943374928,-0.32266567636994453,-0.32750973474519673,-0.4210489109837484,2.071923759293287,-0.5604185989949688,-0.5430048645790226,-0.35130188757042563,-0.4070971519290385,-0.5093140325023763,-0.8304531175931398,-0.36797040898895444,-0.52948809658343,,-0.3700813285517934,-0.4855234708334628,-0.3559071755045095,-0.7240842777649241,-0.588489081366081,-0.5412335818294102,-0.5864317739860191,-0.2933927008373306,-0.5736693008061925,-0.49529653705774324,-0.630985336560648,,-0.6897168011889832,-0.35940171274960947,-0.3986287975363313,-0.4952606509785616,-0.5634979383008502,-0.5061579743679308,-0.39848278574113916,-0.622691196895009,-0.47090686528988923,-0.48378993539124815,-0.5180311021221062,-0.5216509673765454,-0.5731251416602919,-0.5714572564306275,-0.45133169993866123,-0.6935018132342504,-0.47404823639332855,-0.5117302949744579,-0.6145996824162352,-0.4945176422260934,-0.5353556511865213,-0.4787479839117382,-0.38517260783814133,-0.6226245702695299,-0.48022427979820625,-0.4761563809747243,-0.4801279453237577,-0.47584709142610454
CASP2,-0.4067757278233778,-0.28040105873035903,-0.5229753094856778,-0.40300027688972484,3.070556083482078,-0.3682455917534235,-0.3099233881526238,-0.5134352906711278,2.567867084891476,-0.5290469739798253,-0.15595107974065817,-0.4086861785656,-0.32669879249072653,2.984986553403277,0.4260869128385517,2.738783923400535,-0.43385218945599335,-0.4571023922834742,,-0.34764497476484546,-0.46462155570951563,0.04906333218334181,-0.3631183417232542,-0.35039668536699076,2.7938961739389696,0.578177983044155,-0.4956350660736958,2.3843660943828544,-0.46320339159841734,0.514748088100703,0.152323451372562,3.0648690843693815,-0.30851542819511374,-0.4494455875381535,-0.4036465210034474,-0.4219947274816687,-0.22767658347830372,0.5075572531206146,-0.4397674678749119,-0.44401365549053246,-0.38216812459440647,-0.5428249907698289,-0.3542091291932435,-0.18647777821919462,-0.4915467968890307,-0.14720357912771764,-0.36877427096446297,-0.5089772847225372,-0.5207872672075632,2.7445407186994055,-0.370288178853813,2.7582503896432127,-0.34583361410280106,-0.41569397851291384,2.8758424222461962,-0.4067697519254359,2.889503216917085,-0.3608063438335901,2.900995637308591,-0.3198771024782351,-0.3392802972996321,-0.6004357791958929,-0.19169504340330656,-0.33235306731171205,-0.20403974732326477,2.681219785332101,-0.4284760289890405,-0.504958648774995,-0.36518725355145415,-0.4592338982693866,-0.2940869221520841,-0.27995876980881196,-0.35462923224639725,2.741682942850442,-0.2286627572122574,-0.42899055359085814,-0.3356884519392081,-0.2897434469213253,-0.5790167954107618,-0.45651646027753245,-0.4740506708490408,-0.2768054399187635,-0.3720501683632723,-0.217506013409851,-0.42030837288516937,-0.31154633868963766,-0.35399592916473227,-0.270448398614194,-0.38888991780673554,-0.4172011529194654,-0.3651632751184149,-0.6590329557749529,-0.3839924543398102,-0.46092574629377264,-0.3538403956355717,-0.3165487100123096,-0.41288731653401733,-0.36659342840208864,-0.40502281358976,-0.3612148290298944,-0.4897818929629347,-0.4562415283975453,-0.34614957499599447,-0.2441741482603046,-0.45881432093795516,-0.2810705625851028,-0.40613713056597,-0.46864696528434063,-0.39516453153586656,-0.36764306591340645,-0.3991811448862538,-0.4381382907342758,-0.3665084065642046,-0.2845106130409205,-0.3804429209300505,-0.2984856633231363,-0.34386908348192347,-0.3572568040001386,-0.30865924238599596,-0.2638057346511204,-0.30149416520180816,-0.3489472199669046,-0.47320040859484014,-0.28989826329050344,-0.3615832596212664,-0.282138207879644,-0.37834542576459523,-0.28042905463865353,-0.47004339210956114,-0.6055662002747322
DLG2,-0.507703132397085,-0.3443454710570107,-1.234913286999801,-1.0690272524996476,-1.2114903336952978,-0.355352989056085,-1.0762529079448022,-1.174790698393592,-1.0643949469796268,,,-1.1550088130310683,-0.9602728579495855,-1.2333564292547992,-0.6985811097345512,,-1.0549494014386722,-0.4439232295143269,,-0.18576786352672744,-1.0671646481760515,-0.8623413971610387,-1.0552872163308042,-0.7634576790170127,-0.4138085797038398,-1.1804060218066996,,-0.13676635119375838,-1.020527495531133,-0.4511951763860057,-0.4507771545257375,-0.8829183698333194,-0.3682225513933864,-0.5910010733877618,-0.44157666951215235,-1.2771639393490262,-1.1772639930651363,-0.3805916847045614,-1.0020907980261051,-0.8726523249488323,-1.1750082523479881,-0.08277939633788878,-0.4624934635265773,-1.1156968248295798,-0.46378020044709567,-0.46892208266699703,-0.9027259305438571,-0.09107454220145736,-0.8802889135383539,-1.2008560465332496,-0.5061286245808856,-0.9737901647196786,-0.5393302551751841,-1.2854691840008299,-1.0316077516296314,,-0.967700117450311,-1.1624868038417104,-1.133808658089302,,-0.5194962728236999,-0.3014965256303642,-0.16722417270551132,,-0.9861174807310046,-0.8226937040149671,-0.23046606044292006,-0.5141715310822945,-0.7125323617156587,-0.7987311089032778,,-0.3438294073977312,,-1.234928574138547,-1.1258654360394034,-0.38212971289098085,-0.4196972683177616,-0.7464199934079274,-1.1996257307300089,-0.4865050796964618,-1.1655633756401487,-1.0557675880477524,1.1883103367183918,0.5607870969827993,0.9599880661890583,1.1622665530969098,1.2307906666606114,1.214979629599174,1.0872623384588898,1.174486246231873,1.3554625178480717,1.2541341326654125,1.3201192981339234,1.2462099322519835,1.1137226327884935,0.42908168648811457,1.027853368340209,0.7591373360796739,1.084776327855783,1.1951830344038672,1.0585892120425069,1.0587764087666414,1.2445118136366464,1.1600637115577235,1.1610258910806226,1.2759785743855632,1.3098345958290432,1.2068078777757254,1.2822850079948416,0.9878441524472245,1.2135869497812959,1.27881844912645,1.142022232791096,1.3925951342147815,1.3301050860584382,1.308024695997994,1.2634276884167115,1.462597114901377,1.157510172006981,1.2663923671924273,1.167699322600452,1.141534445385137,1.340455930314883,1.2392302876416164,1.1138989324873125,1.173321505479018,1.2329980204819713,1.088825128027839,1.2126582614771595,1.1865822736493117
DNAL1,-0.4205375136069702,-0.10268935174918693,-0.42948906178677543,-0.5126986926446112,-0.345827958914224,-0.6029110512228,-0.3182057011616988,-0.5178111399514446,3.243050021983306,3.3697470577132322,-0.5334109129447592,-0.36423099312676405,2.9576108590745642,-0.223699684808083,-0.5270234611916975,1.9086560864558377,-0.4438087173995857,-0.3599152412425436,1.8598412235999588,-0.3768630369436528,-0.35866477639472305,-0.4198616672258615,3.1056816422360733,-0.37910415267855607,-0.47210660454090375,-0.4066218620848801,2.948571150422335,-0.39543142154074024,-0.3425530887689957,-0.3897659117500389,-0.3398810258495645,-0.3842337349392335,2.1174055412581763,-0.30911907232978986,-0.4238223351703975,-0.5475547400250222,-0.3147538830068724,-0.317876685273907,-0.2872980810578169,-0.37208063533747116,-0.47765695751043374,-0.30467725922577626,,-0.2027514128746506,-0.034591989647346943,-0.1976569243845766,-0.45976327716540893,-0.3328258776915142,1.6959073912224756,-0.4876759809265237,-0.43808502473413535,2.888810952382214,1.9414320029102496,-0.31226866827714594,-0.5739461302524115,-0.45907481329876854,-0.36851919464631416,-0.4846925144894154,3.051043008106634,-0.4137366890821705,2.636833781145158,-0.445903314899553,-0.5879903643479439,-0.376549251230228,-0.40808395844945683,2.8669015321111746,-0.29936984620173634,-0.4244190242321518,-0.29846358578051574,2.641901775694163,-0.4754242428391713,-0.21323403926754295,-0.42772824341081433,-0.6150670648002874,-0.18863269454073392,-0.3846393063633312,-0.31343599602219435,-0.2768095542035826,2.1375416005736154,-0.5343218251131835,0.03690735885262971,-0.5225551338601012,-0.47296341491275024,-0.24636734520202777,-0.3789663729142792,-0.33925232734593724,-0.32241006350100115,-0.329897570020144,-0.34481499860459836,-0.3482661230325332,-0.23637332546106415,-0.30229516927917677,-0.36932955742315243,-0.4029039350612936,-0.3678666700946796,-0.4103581500775122,-0.3906017922173467,-0.35854591825906784,-0.43651802733934725,-0.27034438444216163,-0.2919628649982998,-0.2952446930660158,-0.2691971398463809,-0.30426726111810193,-0.3085016969852939,-0.4565313050060829,-0.4055007304616185,-0.4175170352630622,-0.3335809029877929,-0.3609868953087934,-0.35306274243793606,-0.2776162294303002,-0.34334745723502813,-0.5162743562550373,-0.3496753447059531,-0.43872090650178874,-0.26192997937815155,-0.33995773100941057,-0.3576776027201136,-0.3731569721175458,-0.32572994284450485,-0.3722742314480516,-0.33622451656754326,-0.3845569181807599,-0.32406761097933967,-0.40019353074886876,-0.2814577655864542,-0.2815571890346238,-0.33418535006605604,-0.10440858182611462
ANKRD30BL,1.9580270469981709,-1.2304559605034036,1.678421683320973,,0.08643462582050522,1.8087486462555635,-0.37010901065793345,-0.25852104337315174,-1.219268083034887,-1.0156841298324508,0.00703431902787771,1.864720211126769,0.04148618330931315,,-0.18940414522994037,,,-1.128091716539759,-1.0736112769639625,-1.0927655443809814,-1.14167360565579,,-1.1411344316424805,-1.1966547084153287,1.8939853132704687,1.914026098498443,-1.2622619633354013,-0.9976787399047956,-0.21605171487018887,-1.5322690639977092,1.599748335824057,1.7419305704664665,-1.055012585655597,,-1.208879657799497,-1.3382617196184257,1.912546952144959,-1.0543703578197352,-0.9596972834836368,1.7222410498817258,-0.38112092719538726,-0.3221534512511475,-0.07276326754127976,-0.8739473216726379,-0.1330199767248994,-1.0611220602313298,,1.9390969731170533,-0.17946184321956588,-0.4477393092648771,-1.1849394478832516,0.005988527293454917,1.7428864218769524,1.8701722177724958,-1.109762322558461,1.6494224707867766,,-1.633716074587496,-1.0069990648240636,-1.3722946101753497,-0.1972958687626324,-0.23464799898912156,-0.04517276045489892,1.7025539617909196,-0.06371665887563796,-0.4139829124903407,-0.43595353310105006,-1.5262073408011385,-1.0242604564209372,-1.5761134450358576,1.9269139180027597,2.0028079341052383,,-0.33173852515987096,-1.2968932801663144,1.9095588953890503,-0.47116566693284806,,1.6286405247822453,,-0.5542275713138284,-0.7817077000469369,0.26604168728366473,0.2311148397108554,-1.331767180545188,-0.27654517536718193,1.0191066902472286,-0.4660693240650833,0.3592681686804982,0.06077832232206119,-0.2312565858217289,0.13873821176307208,-0.2915497713889243,-0.3013680722752003,0.624657187796929,0.13536201033961864,0.8021791461642177,0.9782570087414952,1.0484142559180472,0.05151815479730689,-0.23166602442841538,-0.22244417831853383,-0.22426656620044577,-0.4607025540868807,0.19554715826769334,-0.2519716428094531,-0.39433067717094095,0.5116231994129311,-0.33143222011637963,-0.1281257482235275,-0.1762457442860445,0.6824170681354336,0.13573373860539684,-0.15307060319909094,0.40932777577431634,-0.05828154505253285,0.9193241834162522,0.02310851810811684,0.1477350050112372,-0.3673901215053428,0.32748842060874794,0.4540489046249011,-0.22509135599711333,-0.09291768648401078,0.2862637519188746,0.2976580445451485,-0.3088912642444021,0.30090896161522923,-0.37985913648516806,1.305210021796313
ORAI2,-0.37101724215870246,3.7276197384207044,-0.3443425600085088,-0.07666338511801023,3.4411195413909543,3.3841956704479705,-0.1965816975309854,-0.2871576419518135,3.174737417595359,-0.3476610377098459,-0.36096114165759485,-0.4799508866898939,,3.461252696679086,-0.4924613907988115,,-0.24765075060704836,-0.3982178083592879,-0.2747821073696562,-0.4001552177764191,-0.205997275732845,-0.24677054946377988,-0.07977824466609928,-0.38682978801528367,-0.3137933046364259,-0.290513479732067,3.467794645995173,-0.3564391028896316,-0.40248558130788104,-0.36397362160064956,-0.26810641870081686,-0.18352917613906392,-0.4246760979242791,-0.3698012871342171,-0.3462938018733689,-0.31007650393842623,-0.3543739591612713,0.12621386293017686,-0.39085699016914377,-0.42035593832318924,-0.41192144433440503,-0.35891838250987645,-0.27913230302543135,-0.19650377412746856,3.164348414287516,-0.27473784226187414,-0.1758833597943249,3.21568591150804,-0.20590138026092453,-0.5036821143801835,-0.26608840179371124,-0.22696015808021086,-0.14396866521687027,-0.5151616766125564,2.9676573108343653,-0.297488835755306,-0.17175368030431337,-0.43700923777312173,-0.2159347025319467,-0.38051546796475405,-0.540213453458423,-0.3331431768748174,-0.36810359630155604,,-0.2900989664943278,-0.5453507728110258,-0.39464607349843767,3.6390217611534674,-0.16010165638694146,-0.4240955404211384,-0.555021295084584,-0.3141822695446453,-0.2691033776009485,-0.5060968675982823,-0.40363655765935846,-0.3010337355754115,-0.19787813464885168,-0.24704258055325296,-0.3949250006921249,0.8102604582604533,-0.26198406274188096,-0.3515226569650053,-0.24823302860043445,-0.33827189888872206,-0.37783674071631246,-0.26493335216562497,-0.2229243576117521,-0.18193771577996262,-0.29803626671578504,-0.16623563786131584,-0.17235257302175858,-0.1926917936877156,-0.17866300567025925,-0.10029489522546667,-0.3124846998782764,-0.17558602797356548,-0.1931542214667424,-0.24896242087186368,-0.2657867881715714,-0.28698075856035504,-0.14002514415545939,-0.2672041760366156,-0.07711169164461754,-0.1589734447756627,-0.37340155655089713,-0.28138943303938885,-0.2840892435204743,-0.31158869561320734,-0.305255443444538,-0.38672644213967605,-0.18563977403900095,-0.31798201787063696,-0.2651802673750253,-0.3225534678697532,-0.3198422570063783,-0.30001694517316885,-0.45120308429587597,-0.35794801749324223,-0.28078641355698714,-0.3770733664661674,-0.3746168625251398,-0.28654390359472226,-0.3234627107213222,-0.3340920282728306,-0.3039548288817658,-0.05331513699587973,-0.22393792455473452,-0.3083601528220067,-0.20870662556272976,-0.26156499985458403
PDE3A,-0.2897439601859078,0.04777106788926474,-0.15898501665663256,-0.6047225902741773,-1.1308929311324305,-0.9242452852905367,-0.8085944752666773,-1.1337812589540797,-0.8542807511682423,,-0.129401338502227,-0.6423428194906826,-0.6963800372754052,-0.6313444862976316,-0.8553582886901644,,-1.09684805209922,-0.029702055285708396,-1.167366255628022,-0.45821045590789655,,-0.7896522677249606,-1.2234826982055784,-0.8951994687515118,-1.0072585182981264,-1.0677960149506798,-0.7262808500356203,-0.9450684251449698,-1.0035401210069759,-1.0890504191350376,-1.0500377423943255,-0.23282506276844656,-0.24691569219196624,-0.43788300546502257,-0.14962195009198845,-0.2617319366293826,-1.1376350708133869,-1.1261740691464242,,-0.5930324217222493,-1.162818538724127,-1.2302263727456824,,,,-0.5120395853108488,-1.269001183370494,-1.1202613874359724,,-0.22109246633888346,-0.6914918041849668,-0.7459199224026231,-0.12668687541292314,-0.9678040498633848,-0.874329118313558,-1.0913493893556363,-0.7819084494914931,-1.0465393832843806,,-0.12863668750003518,-0.39507059863025207,-0.3658236422872935,,,-0.7929179303661893,,-0.7025223069666323,-0.06287856475756208,-0.3641597807294706,-1.0470799310319197,-1.0180380746605735,-0.5085642347232958,-0.503104767003925,-1.2601003219777607,-1.0368000236370711,-0.5370416912111823,-0.34822895688671013,-0.38861065874470996,,-0.5837069228343112,,0.01795704201968846,-0.7745476850990772,-0.762761819284749,0.1036895802899831,0.05083317408228525,1.2839190766930602,1.5846104660767746,0.22418678262415226,1.613528839695779,0.6498047924859237,1.7276217836155399,0.6306158081794659,0.5852522658198854,0.07601401385984455,-0.020200868456931084,0.13222037012903412,0.5588225493413134,0.01821806172397893,0.14717157390908991,1.542911080175124,1.4808247390102358,1.167723147207246,1.605947894837861,1.5736679188412588,1.7840196573306704,1.7156519920964266,0.9525640071656017,0.539312986691361,1.593524640492296,1.6692835589625195,1.7733412030662392,1.6836408640929612,0.6260722953587561,0.6340048326112778,1.7722430595889722,1.7297252252491153,2.1037845242346482,0.5422551137753419,1.6096473077891367,0.6230156987071989,1.4832986433814142,1.810730144783047,0.45395586360975076,1.4688344623539782,1.5315371660061163,1.690101359246274,1.4215148947365552,0.5030343080039447,0.49924394776655795
