,0
TOR1AIP1,8.24565677065772
CHD7,7.297719919468686
ZFYVE26,7.106992978804131
NAA38,5.580401790645231
CASP2,4.665584513597013
DLG2,4.156433739136493
DNAL1,4.118642330432265
ANKRD30BL,3.8060673259358526
ORAI2,3.392417750761563
PDE3A,3.1558239301407327
SEC22A,3.095586272692458
SYPL1,2.7375163926514974
RCOR1,2.354551800400176
SAV1,2.15202660642392
ATAD3C,2.053226871184615
NOX4,1.8772289584663586
ZNF485,1.688060350891935
RANBP1,1.266047710351566
ANKRD28,1.2560369779606353
SNORA37,1.2046763926575301
RAB11FIP4,1.2042857816424246
OSCP1,1.161294349719693
YY1AP1,0.9633930237976736
SGIP1,0.9494997458765168
SNORA54,0.9338862973822866
BTRC,0.9233096767616393
TSNARE1,0.9207702316442253
SIDT1,0.9058032250142646
CDON,0.8783003728099068
HLA-DRB1,0.8729414840878031
SNORA47,0.8689078297824395
RPS29,0.8596342113802116
SETD3,0.8422801546575811
GPC3,0.8165326962186213
TNFAIP8,0.74541647612867
LARGE,0.7410092964570971
LILRB3,0.7328972994735511
APP,0.7191743977794967
SFTPB,0.7184759208641728
PGS1,0.6978133793907507
RPL12,0.6959233969886106
MEGF8,0.6777975362720143
TSPAN9,0.6714225349802536
CEACAM5,0.6710490003205957
RPS28,0.6668708158590321
AASDH,0.6525729578643483
VGLL4,0.6461332754753425
PTPN1,0.6451049452823412
ANO9,0.6442089262489256
SFTPA2,0.6413148905194043
CDK5RAP1,0.6403528017629249
RPL9,0.6361636074536123
FAM172A,0.6279861444396938
NAALADL2,0.6075296145302551
HLA-B,0.5937003099864521
HLA-A,0.5901342337006485
ZBTB16,0.5871376421454604
DAPK1,0.5727593147210728
FAF1,0.5722664826655971
AKR1C2,0.5678179109387445
ASTN2,0.5554433727636523
TRNP1,0.5402993580648565
DNM1L,0.5273787129453297
SCGB3A2,0.5160320004781029
SFTPC,0.5141207205235953
WDYHV1,0.5140942924639023
CCNB1IP1,0.5054816109239003
USP32,0.5043436404997356
MBNL1,0.4977835861451865
FRMD4B,0.49605671482378483
CDKL5,0.49438598832823255
WDR47,0.4880068050453349
RPS27,0.4858022026292504
BNC2,0.48526218480527206
INTS4,0.4845956930606805
MYO1D,0.47624607569993527
MIB1,0.4761590859287908
ZNF331,0.4746116683245219
KRT17,0.4719232113647599
ZNF121,0.47053671616535264
SFTPA1,0.4699138505369548
LRRK2,0.46561085081853604
TSHZ2,0.46538431693454585
TRAF3,0.4645629909677988
NAPSA,0.462153429358326
TTC7B,0.4616985565045629
OPHN1,0.4598418586245149
AKR1C1,0.45981372378663826
ZNF606,0.4595546605230677
CCT6P3,0.45954524043432854
H3F3A,0.4543225258929119
PTRH2,0.4510941895618403
CCNJL,0.44662904097494627
SCGB3A1,0.44605628412822784
RPS7,0.44598011623488953
EYA3,0.4448430064283825
PLCB1,0.4425968736933447
NR3C2,0.44221369422936074
NCAPD2,0.4376605603300488
TMEM131,0.4375922323482826
RHOU,0.4360394822376878
NCALD,0.43507185210753413
CACNA1C,0.4325519380239214
BCAS4,0.43126420887416267
RNU12,0.4283377105011604
KIF13A,0.4272214402221858
SNF8,0.42689471449997635
FBXL7,0.4266818319153348
SNORD17,0.4243824611645712
LOC389906,0.4237038874438224
CADM1,0.42215071253280123
KCNQ3,0.42186027177282537
ZC3HAV1,0.4216387010251308
CD2AP,0.42007172971065143
PID1,0.4195753272005
PIGR,0.41907364365185573
SFTA3,0.4175311182992037
HOPX,0.4158892210208282
PRKG1,0.415758407614598
SNX3,0.4156586041227442
MAPKAPK2,0.4153396630176786
JARID2,0.4145082047425848
LDB2,0.4139918459739514
KCTD17,0.4136546873519727
TCEB2,0.4133796665445089
AMZ2P1,0.4129534173345064
HLA-C,0.41130993945373073
NRAS,0.40812523510172694
DNAJC13,0.40742508608439926
PARD3B,0.4046211482724353
PIK3CB,0.40303541616379024
ARHGAP15,0.4021491943478822
IGJ,0.39949693452121177
NTM,0.39778314450887026
RPL17,0.39726807101501677
TRAPPC8,0.3966015846214799
MAPKAP1,0.39621523787932045
GNA14,0.39616673084938653
HECTD1,0.39568659201471607
CFH,0.39434695173409084
SPP1,0.3929642181330786
BANK1,0.39167012492720826
RALGAPA1,0.3906753045927431
PPP1R9A,0.38969096145415644
SOX5,0.38938038223826194
MACROD2,0.38922162951014405
PPM1D,0.38642632804823457
HS6ST2,0.386327997601319
ACSL1,0.3852649646905121
MRPL4,0.38415771816967126
CHSY3,0.38373083957269083
ACACA,0.38315046452002105
KRT15,0.380484130769885
HLA-DQB1,0.3801573290594774
AGR2,0.378975415590319
CAMK1D,0.37826742035535177
RPS3A,0.37825319267891494
CEP152,0.3769408079704331
CADPS2,0.37651872796843505
RPSA,0.3760447471902509
PLEKHA7,0.37581417426585145
RBMS3,0.3755784897708675
HERC4,0.37547447583230587
ARHGAP24,0.374039769442356
SNORA49,0.3737583459982775
ZNRF1,0.37357283458462864
KYNU,0.37209994076892994
CARD10,0.37126877256180546
RPL39,0.3709227479009624
PAQR8,0.3685485574996725
SORBS2,0.36755343033789684
RPS12,0.36724894494488497
CSF1R,0.3668204542517305
ZNF490,0.3646780167996008
HLA-DQA1,0.36410791575347584
SLC34A2,0.36398071751649524
SOCS7,0.36291144466616
RNF168,0.3623316475957817
ACSL3,0.3618814926125289
TMEM163,0.36176635879082164
FAM57A,0.3617257305205291
SLC9A9,0.36086713859360614
NPEPPS,0.35994553785117733
SHQ1,0.357923151626999
LARP4,0.35625064890267566
NHS,0.355482396587847
DNM2,0.3547603956410764
MMP1,0.3545888683666907
SHROOM3,0.35396102928215606
SNTB1,0.35383758986414954
MMAB,0.35315514426188543
SCARNA5,0.35290171682498045
PLA2G4A,0.35271978715081415
RPS2,0.3506449846814424
ATP13A4,0.3505317985042814
LSAMP,0.3503466255332355
KAZN,0.3501123512149806
SCAI,0.34949520574596865
PTPN13,0.34809585718861963
CHKA,0.3475298382262445
KIF26B,0.34681797322760816
PRKCA,0.34630745674126157
NUP107,0.34530376291615633
FHIT,0.34481311913022167
RPL7A,0.3418928605172453
PCDH7,0.3406243021945185
LYZ,0.34039181450181466
TMEM11,0.3400411811209659
NAMPT,0.3399063206995339
CLIC6,0.33781515883485264
TXNRD1,0.3352682508957404
MAPK10,0.33517387193546466
RPL24,0.3335335023549886
EEF1A1,0.33352131758108083
AUTS2,0.33338585828012
NVL,0.3327998746168019
LIMCH1,0.33252302817894774
AQP3,0.33214595175425227
DLEU1,0.3319998002677581
TMEM117,0.33140883208728394
CPM,0.3307447047362009
UBE2E2,0.33040477502662946
PDZRN3,0.3303894030989102
IGF2BP2,0.3296050516381053
EXOC3,0.3294446088174966
PRKD1,0.3287007439632654
PHACTR4,0.32826777831672344
LTF,0.3274975610478349
EML2,0.3271056569722525
NDRG1,0.32598393349842286
MAP2,0.32587108819767263
AGAP1,0.3257518417097461
SGMS2,0.32545146492578253
ZDHHC7,0.32529465573084804
FRAS1,0.32514402386468955
GPX2,0.32431975838148447
FABP5,0.3229821687337443
SLC7A11,0.32279050174264456
LEPREL1,0.32262024033562053
SLC22A3,0.32225030390964154
SCARNA6,0.3222087708203314
S100A8,0.3212774808498858
RPL13A,0.3212572854255823
PLCL1,0.3212346134805938
EPS8,0.32121262380083876
FKBP5,0.3209762347295444
ROR1,0.3203666348557276
GCLC,0.3201212262733153
