Gene,Total Loss,Gene Index
VGLL4,0.0,46
USP32,0.0,67
ZNF121,0.0,79
ZNF606,0.0,88
PTRH2,0.0,91
CDON,1.1258655124240451e-07,28
SETD3,1.1920928955078125e-07,32
EYA3,3.639020417865954e-07,95
PTPN1,6.782381158126028e-05,47
RAB11FIP4,0.0004753878242091129,20
CDKL5,0.002786567336634586,70
MIB1,0.009274815258226897,76
TSNARE1,0.02763713033575761,26
TMEM131,0.043610346944708576,99
CDK5RAP1,0.04560968750401547,50
APP,0.045971920615748355,37
SAV1,0.06139152928402549,13
ORAI2,0.19178531044407895,8
MYO1D,0.22150140059621712,75
RCOR1,0.2220422343203896,12
ANKRD28,0.23147663317228617,18
ATAD3C,0.32236750423908234,14
SEC22A,0.3411431563527961,10
ZNF485,0.34877586364746094,16
TRAF3,0.3702039216694079,83
FRMD4B,0.38772261770148025,69
SFTPB,0.3883395724826389,38
INTS4,0.39016422472502055,74
TRNP1,0.39284515380859375,61
CHD7,0.4147499486019737,1
ANO9,0.4252855652257016,48
TNFAIP8,0.4536582545230263,34
ZNF331,0.4670217413651316,77
PGS1,0.5388697574013158,39
SNORA54,0.5510635375976562,24
DNAL1,0.5517335189016241,6
CASP2,0.568887007863898,4
DNM1L,0.5897923519736842,62
NOX4,0.6062870025634766,15
NCAPD2,0.6142374674479166,98
NAA38,0.6549503928736636,3
ZFYVE26,0.6604325143914473,2
RPS27,0.6608671300551471,72
WDR47,0.6726459703947368,71
FAF1,0.6939922131990132,58
CCT6P3,0.7265625,89
RPS29,0.7356270237972862,31
ASTN2,0.7378883863750257,60
FAM172A,0.798894581041838,52
SFTPA2,0.8015779194078947,49
SCGB3A1,0.82275390625,93
BTRC,0.8422594572368421,25
LILRB3,0.8441238403320312,36
CCNB1IP1,0.8500334087171053,66
KRT17,0.87811279296875,78
PLCB1,0.8812730577256944,96
RANBP1,0.8881321957236842,17
SFTPC,0.88935546875,64
AASDH,0.8977629009046053,45
HLA-A,0.8981246948242188,55
NR3C2,0.8997667100694444,97
CEACAM5,0.902191162109375,43
OPHN1,0.9040270353618421,86
RPL12,0.9241622121710527,40
RPL9,0.9295204564144737,51
HLA-DRB1,0.932586669921875,29
SNORA37,0.9370374177631579,19
RPS28,0.9410903033088235,44
RPS7,0.9433336759868421,94
WDYHV1,0.9443616365131579,65
AKR1C2,0.962371826171875,59
OSCP1,0.9643231560202206,21
NAPSA,0.9685329861111112,84
LRRK2,0.9705489309210527,81
AKR1C1,0.9808485243055556,87
CCNJL,0.9901841107536765,92
DAPK1,0.9928042763157895,57
SFTPA1,1.0161200629340277,80
ZBTB16,1.016256893382353,56
BNC2,1.0364278157552083,73
SGIP1,1.04152250289917,23
LARGE,1.0434538188733553,35
ANKRD30BL,1.0504222196691178,7
MBNL1,1.0523360402960527,68
TSHZ2,1.0648129111842106,82
NAALADL2,1.0705759148848684,53
TOR1AIP1,1.081260279605263,0
SYPL1,1.08852125469007,11
HLA-B,1.0929183959960938,54
DLG2,1.1548394097222223,5
TTC7B,1.20526123046875,85
SIDT1,1.2206285264756944,27
H3F3A,1.2633249383223684,90
SNORA47,1.266832853618421,30
PDE3A,1.2711540670955883,9
SCGB3A2,1.3064914279513888,63
GPC3,1.3546074761284723,33
MEGF8,1.497532894736842,41
YY1AP1,1.5054738898026316,22
TSPAN9,2.5485377060739616,42
